site_id,vegetation_type,metadata_source
US-KL2,GRA,ameriflux_site_search
US-KL3,GRA,ameriflux_site_search
US-KLS,GRA,ameriflux_site_search
US-KM1,CRO,ameriflux_site_search
US-KM2,GRA,ameriflux_site_search
US-KM3,GRA,ameriflux_site_search
US-KM4,GRA,ameriflux_site_search
US-KON,GRA,ameriflux_site_search
US-KPL,WET,ameriflux_site_search
US-KS1,ENF,ameriflux_site_search
US-KS2,CSH,ameriflux_site_search
US-KS3,WET,ameriflux_site_search
US-KS4,WET,ameriflux_site_search
US-KSA,GRA,ameriflux_site_search
US-KSC,CRO,ameriflux_site_search
US-KSP,CRO,ameriflux_site_search
US-KUO,URB,ameriflux_site_search
US-KUT,GRA,ameriflux_site_search
US-KYV,CRO,ameriflux_site_search
US-LA1,WET,ameriflux_site_search
US-LA2,WET,ameriflux_site_search
US-LA3,WET,ameriflux_site_search
US-LCW,WET,ameriflux_site_search
US-LGR,GRA,ameriflux_site_search
US-LIN,CRO,ameriflux_site_search
US-LL1,SAV,ameriflux_site_search
US-LL2,SAV,ameriflux_site_search
US-LL3,SAV,ameriflux_site_search
US-LMA,CRO,ameriflux_site_search
US-LMB,CRO,ameriflux_site_search
US-LMS,CRO,ameriflux_site_search
US-LMW,CRO,ameriflux_site_search
US-LOS,WET,ameriflux_site_search
US-LPH,DBF,ameriflux_site_search
US-LS1,GRA,ameriflux_site_search
US-LS2,SAV,ameriflux_site_search
US-LU1,CVM,ameriflux_site_search
US-LWW,GRA,ameriflux_site_search
US-MAC,WET,ameriflux_site_search
US-MBP,WET,ameriflux_site_search
US-MC1,CRO,ameriflux_site_search
US-MC2,CRO,ameriflux_site_search
US-MCP,WET,ameriflux_site_search
US-ME1,ENF,ameriflux_site_search
US-ME2,ENF,ameriflux_site_search
US-ME3,ENF,ameriflux_site_search
US-ME4,ENF,ameriflux_site_search
US-ME5,ENF,ameriflux_site_search
US-ME6,ENF,ameriflux_site_search
US-ME7,ENF,ameriflux_site_search
US-MEF,ENF,ameriflux_site_search
US-MEN,WAT,ameriflux_site_search
US-MFS,CRO,ameriflux_site_search
US-MG1,GRA,ameriflux_site_search
US-MH1,CRO,ameriflux_site_search
US-MH2,CRO,ameriflux_site_search
US-MI1,CVM,ameriflux_site_search
US-MI2,CVM,ameriflux_site_search
US-MI3,CVM,ameriflux_site_search
US-MJ1,CRO,ameriflux_site_search
US-MJ2,CRO,ameriflux_site_search
US-MKG,OSH,ameriflux_site_search
US-MKH,GRA,ameriflux_site_search
US-MKN,OSH,ameriflux_site_search
US-MMS,DBF,ameriflux_site_search
